title,0
Toy Story,0
Jumanji,1
Grumpier Old Men,2
Waiting to Exhale,3
Father of the Bride Part II,4
Heat,5
Sabrina,6
Tom and Huck,7
Sudden Death,8
GoldenEye,9
The American President,10
Dracula: Dead and Loving It,11
Balto,12
Nixon,13
Cutthroat Island,14
Casino,15
Sense and Sensibility,16
Four Rooms,17
Ace Ventura: When Nature Calls,18
Money Train,19
Get Shorty,20
Copycat,21
Assassins,22
Powder,23
Leaving Las Vegas,24
Othello,25
Now and Then,26
Persuasion,27
The City of Lost Children,28
Shanghai Triad,29
Dangerous Minds,30
Twelve Monkeys,31
Wings of Courage,32
Babe,33
Carrington,34
Dead Man Walking,35
Across the Sea of Time,36
It Takes Two,37
Clueless,38
"Cry, the Beloved Country",39
Richard III,40
Dead Presidents,41
Restoration,42
Mortal Kombat,43
To Die For,44
How To Make An American Quilt,45
Se7en,46
Pocahontas,47
When Night Is Falling,48
The Usual Suspects,49
Guardian Angel,50
Mighty Aphrodite,51
Lamerica,52
The Big Green,53
Georgia,54
Kids of the Round Table,55
Home for the Holidays,56
The Postman,57
The Confessional,58
The Indian in the Cupboard,59
Eye for an Eye,60
Mr. Holland's Opus,61
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,62
Two If by Sea,63
Bio-Dome,64
Lawnmower Man 2: Beyond Cyberspace,65
Two Bits,66
French Twist,67
Friday,68
From Dusk Till Dawn,69
Fair Game,70
Kicking and Screaming,71
Les Miserables,72
Bed of Roses,73
Big Bully,74
Screamers,75
Nico Icon,76
The Crossing Guard,77
The Juror,78
The White Balloon,79
Things to Do in Denver When You're Dead,80
Antonia's Line,81
Once Upon a Time... When We Were Colored,82
Last Summer in the Hamptons,83
Angels and Insects,84
White Squall,85
Dunston Checks In,86
Black Sheep,87
Nick of Time,88
The Journey of August King,89
Mary Reilly,90
Vampire in Brooklyn,91
Beautiful Girls,92
Broken Arrow,93
A Midwinter's Tale,94
La Haine,95
Shopping,96
Heidi Fleiss: Hollywood Madam,97
City Hall,98
Bottle Rocket,99
Mr. Wrong,100
Unforgettable,101
Happy Gilmore,102
The Bridges of Madison County,103
Nobody Loves Me,104
Muppet Treasure Island,105
Catwalk,106
Headless Body in Topless Bar,107
Braveheart,108
Taxi Driver,109
Rumble in the Bronx,110
Before and After,111
Margaret's Museum,112
Happiness Is in the Field,113
Anne Frank Remembered,114
The Young Poisoner's Handbook,115
If Lucy Fell,116
Steal Big Steal Little,117
Race the Sun,118
The Boys of St. Vincent,119
Boomerang,120
Chungking Express,121
The Star Maker,122
Flirting with Disaster,123
The Neverending Story III: Escape from Fantasia,124
The Silences of the Palace,125
Jupiter's Wife,126
Pie in the Sky,127
Angela,128
Frankie Starlight,129
Jade,130
Nueba Yol,131
Sonic Outlaws,132
Down Periscope,133
From the Journals of Jean Seberg,134
Man of the Year,135
The Neon Bible,136
Target,137
Up Close & Personal,138
The Birdcage,139
Virgin Mary,140
The Brothers McMullen,141
Bad Boys,142
The Amazing Panda Adventure,143
The Basketball Diaries,144
An Awfully Big Adventure,145
Amateur,146
Apollo 13,147
Rob Roy,148
The Addiction,149
Batman Forever,150
Belle de Jour,151
Beyond Rangoon,152
Blue in the Face,153
Canadian Bacon,154
Casper,155
Clockers,156
Congo,157
Crimson Tide,158
Crumb,159
Desperado,160
Devil in a Blue Dress,161
Die Hard: With a Vengeance,162
The Doom Generation,163
Feast of July,164
First Knight,165
Free Willy 2 - The Adventure Home,166
Hackers,167
Jeffrey,168
Johnny Mnemonic,169
Judge Dredd,170
Jury Duty,171
Kids,172
