,original_title
0,Toy Story
1,Jumanji
2,Grumpier Old Men
3,Waiting to Exhale
4,Father of the Bride Part II
5,Heat
6,Sabrina
7,Tom and Huck
8,Sudden Death
9,GoldenEye
10,The American President
11,Dracula: Dead and Loving It
12,Balto
13,Nixon
14,Cutthroat Island
15,Casino
16,Sense and Sensibility
17,Four Rooms
18,Ace Ventura: When Nature Calls
19,Money Train
20,Get Shorty
21,Copycat
22,Assassins
23,Powder
24,Leaving Las Vegas
25,Othello
26,Now and Then
27,Persuasion
28,La Cité des Enfants Perdus
29,摇啊摇，摇到外婆桥
30,Dangerous Minds
31,Twelve Monkeys
32,"Guillaumet, les ailes du courage"
33,Babe
34,Carrington
35,Dead Man Walking
36,Across the Sea of Time
37,It Takes Two
38,Clueless
39,"Cry, the Beloved Country"
40,Richard III
41,Dead Presidents
42,Restoration
43,Mortal Kombat
44,To Die For
45,How To Make An American Quilt
46,Se7en
47,Pocahontas
48,When Night Is Falling
49,The Usual Suspects
50,Guardian Angel
51,Mighty Aphrodite
52,Lamerica
53,The Big Green
54,Georgia
55,Kids of the Round Table
56,Home for the Holidays
57,Il postino
58,Le confessionnal
59,The Indian in the Cupboard
60,Eye for an Eye
61,Mr. Holland's Opus
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
63,Two If by Sea
64,Bio-Dome
65,Lawnmower Man 2: Beyond Cyberspace
66,Two Bits
67,Gazon maudit
68,Friday
69,From Dusk Till Dawn
70,Fair Game
71,Kicking and Screaming
72,Les misérables
73,Bed of Roses
74,Big Bully
75,Screamers
76,Nico Icon
77,The Crossing Guard
78,The Juror
79,بادکنک سفید
80,Things to Do in Denver When You're Dead
81,Antonia
82,Once Upon a Time... When We Were Colored
83,Last Summer in the Hamptons
84,Angels and Insects
85,White Squall
86,Dunston Checks In
87,Black Sheep
88,Nick of Time
89,The Journey of August King
90,Mary Reilly
91,Vampire in Brooklyn
92,Beautiful Girls
93,Broken Arrow
94,A Midwinter's Tale
95,La Haine
96,Shopping
97,Heidi Fleiss: Hollywood Madam
98,City Hall
99,Bottle Rocket
100,Mr. Wrong
101,Unforgettable
102,Happy Gilmore
103,The Bridges of Madison County
104,Keiner liebt mich
105,Muppet Treasure Island
106,Catwalk
107,Headless Body in Topless Bar
108,Braveheart
109,Taxi Driver
110,紅番區
111,Before and After
112,Margaret's Museum
113,Le Bonheur est dans le pré
114,Anne Frank Remembered
115,The Young Poisoner's Handbook
116,If Lucy Fell
117,Steal Big Steal Little
118,Race the Sun
119,The Boys of St. Vincent
120,Boomerang
121,重慶森林
122,L'uomo delle stelle
123,Flirting with Disaster
124,The NeverEnding Story III
125,صمت القصور
126,Jupiter's Wife
127,Pie in the Sky
128,Angela
129,Frankie Starlight
130,Jade
131,Nueba Yol
132,Sonic Outlaws
133,Down Periscope
134,From the Journals of Jean Seberg
135,Man of the Year
136,The Neon Bible
137,Target
138,Up Close & Personal
139,The Birdcage
140,Gospa
141,The Brothers McMullen
142,Bad Boys
143,The Amazing Panda Adventure
144,The Basketball Diaries
145,An Awfully Big Adventure
146,Amateur
147,Apollo 13
148,Rob Roy
149,The Addiction
150,Batman Forever
151,Belle de jour
152,Beyond Rangoon
153,Blue in the Face
154,Canadian Bacon
155,Casper
156,Clockers
157,Congo
158,Crimson Tide
159,Crumb
160,Desperado
161,Devil in a Blue Dress
162,Die Hard: With a Vengeance
163,The Doom Generation
164,Feast of July
165,First Knight
166,Free Willy 2 - The Adventure Home
167,Hackers
168,Jeffrey
169,Johnny Mnemonic
170,Judge Dredd
171,Jury Duty
172,Kids
173,Living in Oblivion
174,Lord of Illusions
175,Love & Human Remains
176,Mad Love
177,Mallrats
178,Mighty Morphin Power Rangers: The Movie
179,Moonlight and Valentino
180,Mute Witness
181,Nadja
182,The Net
183,Nine Months
184,Party Girl
185,The Prophecy
186,Reckless
187,Safe
188,The Scarlet Letter
189,The Show
190,Showgirls
191,Smoke
192,Something to Talk About
193,Species
194,The Stars Fell on Henrietta
195,Strange Days
196,Les parapluies de Cherbourg
197,The Tie That Binds
198,Three Wishes
199,Total Eclipse
200,"To Wong Foo, Thanks for Everything! Julie Newmar"
201,Under Siege 2: Dark Territory
202,Unstrung Heroes
203,Unzipped
204,A Walk in the Clouds
205,Waterworld
206,White Man's Burden
207,Wild Bill
208,The Browning Version
209,Bushwhacked
210,Утомлённые солнцем
211,Before the Rain
212,Before Sunrise
213,Billy Madison
214,The Babysitter
215,Boys on the Side
216,The Cure
217,Castle Freak
218,Circle of Friends
