,original_title,imdb_id
0,Toy-Story,0114709
1,Jumanji,0113497
2,Grumpier-Old-Men,0113228
3,Waiting-to-Exhale,0114885
4,Father-of-the-Bride-Part-II,0113041
5,Heat,0113277
6,Sabrina,0114319
7,Tom-and-Huck,0112302
8,Sudden-Death,0114576
9,GoldenEye,0113189
10,The-American-President,0112346
11,Dracula-Dead-and-Loving-It,0112896
12,Balto,0112453
13,Nixon,0113987
14,Cutthroat-Island,0112760
15,Casino,0112641
16,Sense-and-Sensibility,0114388
17,Four-Rooms,0113101
18,Ace-Ventura-When-Nature-Calls,0112281
19,Money-Train,0113845
20,Get-Shorty,0113161
21,Copycat,0112722
22,Assassins,0112401
23,Powder,0114168
24,Leaving-Las-Vegas,0113627
25,Othello,0114057
26,Now-and-Then,0114011
27,Persuasion,0114117
28,La-Cité-des-Enfants-Perdus,0112682
29,摇啊摇摇到外婆桥,0115012
30,Dangerous-Minds,0112792
31,Twelve-Monkeys,0114746
32,Guillaumet-les-ailes-du-courage,0114952
33,Babe,0112431
34,Carrington,0112637
35,Dead-Man-Walking,0112818
36,Across-the-Sea-of-Time,0112286
37,It-Takes-Two,0113442
38,Clueless,0112697
39,Cry-the-Beloved-Country,0112749
40,Richard-III,0114279
41,Dead-Presidents,0112819
42,Restoration,0114272
43,Mortal-Kombat,0113855
44,To-Die-For,0114681
45,How-To-Make-An-American-Quilt,0113347
46,Seen,0114369
47,Pocahontas,0114148
48,When-Night-Is-Falling,0114916
49,The-Usual-Suspects,0114814
50,Guardian-Angel,0109950
51,Mighty-Aphrodite,0113819
52,Lamerica,0110299
53,The-Big-Green,0112499
54,Georgia,0113158
55,Kids-of-the-Round-Table,0113541
56,Home-for-the-Holidays,0113321
57,Il-postino,0110877
58,Le-confessionnal,0112714
59,The-Indian-in-the-Cupboard,0113419
60,Eye-for-an-Eye,0116260
61,Mr-Hollands-Opus,0113862
62,Dont-Be-a-Menace-to-South-Central-While-Drinking-Your-Juice-in-the-Hood,0116126
63,Two-If-by-Sea,0118002
64,BioDome,0115683
